"Data", "Region geologiczny", "Lokacja"
"1970-07","San Juan Mountains","CO, USA"
"1970-07","Medicine Hat","Alberta, Canada"
"1970-09","Colorado Plateau","AZ, USA"
"1970-10","North Minnesota","NM, USA"
"1970-11","Nevada Test Site","NV, USA"
"1970-11","San Gabriel Mountains","CA, USA"
"1971-01","Kilbourne Hole","NM, USA"
"1971-01","Kilbourne Hole","NM, USA"
"1971-02","Meteor Crater","AZ, USA"
"1971-03","Flagstaff","AZ, USA"
"1971-04","Camp Verde","AZ, USA"
"1971-05","Capulin Mountains","NM, USA"
"1971-06","Mono Lake","CA, USA"
"1971-07","Sudbury Basin","Ontario, Canada"
"1971-09","Rio Grande Gorge, Taos","NM, USA"
"1971-10","Nevada Test Site","NV, USA"
"1971-11","Coso Hills","CA, USA"
"1971-12","Hawaii","HI, USA"
"1972-02","Boulder City","NV, USA"
